,ABCC1,ABL1,AKT1,ALOX5,APP,BCL2,CA3,CAPN2,CD38,CDK1,ERN1,EZH2,G6PD,HDAC2,HDAC6,HIF1A,HMOX1,IL6,JAK2,MAP2K1,MAPK8,MAPK9,MDM2,MMP2,NFE2L2,NFKB1,NOS3,NQO1,PARP1,PDGFRA,PPIA,PRKCA,PRKCD,PTGS2,RELA,SPHK1,SRC,XBP1,Type
GSM2370980,6.48099130540219,7.38546165494288,7.06115478170579,4.94888699692781,9.91240516447071,4.05181972728665,-1.426408677,7.7898615521872,-0.619480866,0.123132061257366,4.38456031684135,1.87908256799056,5.01436453556815,4.10955699665597,5.66912874383939,5.97622117888941,8.44268505363733,0.648119250104712,5.07529528813542,4.4596143488715,1.7821556940603,3.70043318013002,5.51427910568184,10.4498926288695,5.4032316764365,4.6013052405349,4.73464005850937,3.82325752582408,6.00782406301586,8.61733110432291,7.01568894735166,4.75180652221296,5.12883745438935,-1.426408677,5.18362953236077,4.22776167183907,4.88419323868575,5.56371925147736,0
GSM2370981,5.31002349653371,6.81329212879602,6.27324365566477,1.95019298397177,8.32210995247968,6.19683279068652,1.41260217496865,7.71185540241505,0.690224487500691,0.690224487500691,3.01969354041917,0.8420292329154,4.08618771230425,4.55658590293813,5.48910823763922,5.73269408116202,3.57850649897741,-1.818278344,5.68830184247608,5.65792951390328,2.92570020328135,4.76228672059605,6.11561540628869,7.87823477982486,6.00620460067418,4.90089153597554,3.42893345146641,5.09259659873835,5.85567336346437,7.41380063460766,7.31669092699102,4.57373160279435,5.68901725681959,0.298526726613031,4.75820202616022,2.86114748055913,3.88360419824042,5.12150313843684,0
GSM2370982,5.89894643646726,7.22641040770393,7.01446871443374,4.07201300276183,10.1555332398447,3.52063295184572,-2.159278521,8.42937180449233,0.0278918791208939,-1.832896168,4.18450999935433,-0.142645493,4.74225319572128,4.76051774893751,5.41924587090642,6.66289821451401,5.02257422627762,-4.227797283,4.97904214508781,5.73158508582255,2.58994781413013,3.92322332088589,5.69881072685646,9.54595409995301,6.1035752218421,4.93950938279716,2.7447547507422,3.48446224528037,5.73466796930156,8.96678995647497,7.85258417775142,5.19587562675967,4.35045177225741,0.250983834320834,5.26999486254225,4.2332784378667,5.21586897676218,6.29324538711377,0
GSM2370983,5.98242453446039,7.40675117216429,6.62757315438189,4.765991925,9.61737701889438,4.87477057983103,1.14417663255852,7.86364664756927,-0.562703338,-1.453234516,4.22182023014971,0.982821372617378,4.87604780546777,3.48224550872792,6.37323706088806,4.82934003322952,4.77697291904854,-4.227797283,4.75214709240597,4.63028592053094,2.01977213736025,3.78114276314635,5.48796935027364,8.49355776696849,5.73038351366168,5.39213155532483,2.90406672796182,3.75083025704583,5.91194785698405,8.51369945430344,6.21519407638233,5.00423022965559,5.29042963856512,-1.261280597,5.72614040189987,2.65305622869679,4.61812472580985,5.91443627767968,0
GSM2370984,3.41040714306665,6.97944211512479,6.58002938217354,2.30335403723623,7.19508605620673,4.56394740715347,-4.227797283,7.55798444223974,-4.227797283,2.41763081756957,0.349408634837771,-4.227797283,4.06486755862261,4.26131694948728,3.83738706459559,5.88392097773631,4.77161825240832,-4.227797283,4.09952342968572,5.34845471287103,1.53684593111922,3.7957253086671,5.36279129399132,8.27660290677254,5.98932216204023,4.9905336880743,-4.227797283,3.56719907484718,4.65995268551846,6.82750681807415,8.19882450227915,4.83469126360061,3.56719907484718,2.41763081756957,4.63654364226772,2.52351627980249,3.29553328191666,5.16428783034744,0
GSM2370985,5.00616571709579,6.80808500572792,6.20168492189157,3.91749807088568,7.62427864978664,5.28432019801726,1.61580978217239,7.57079019795245,-0.210646234,-4.227797283,2.03817834333908,1.37936230612678,4.43275409005317,4.49336109342556,5.57112622378344,5.29287052037938,3.91749807088568,-4.227797283,4.4404706732511,6.06360480242024,1.66932678016803,4.64130715550275,4.78763387183701,8.15708193771937,5.69241528917231,4.81757124915521,4.98521579678701,4.47844636160734,5.72752990374313,6.89769879074783,7.56638894512873,3.65105538173608,4.42499601090146,1.50242464026665,4.7570620756638,5.1821668010711,4.51544801033864,3.72873526836898,0
GSM2370986,4.34335704288297,6.16993936043523,6.32823916320287,4.32700595426394,7.80303549935884,3.9214381522139,-4.227797283,7.91598305670687,-4.227797283,2.50033610104994,2.17451357626885,1.07879948648212,3.68530611859532,5.09337901901429,4.85190206076217,6.6425620706305,6.25234210778078,-4.227797283,4.17085536458018,4.7995333901752,2.94805484012504,4.39132696015755,5.8275061923545,8.07925239341485,6.58184118640907,4.60981987480715,3.79636917019273,3.78444271040034,5.79518157100877,7.85670402765597,8.56215504495224,4.7574459429302,4.78164604283865,1.42449009640489,5.46988148093826,3.59259568558532,3.98534752862044,5.61162122768424,0
GSM2370987,5.87234184718937,7.95032648195744,7.15766220569615,4.16652989633024,8.74425541035168,4.11120292131241,-4.227797283,8.42180385420145,-0.297856463,-1.704939472,4.089895767,-1.704939472,4.58219155607982,3.48559986474606,5.80855483934637,4.74552753708987,4.79464424667435,-2.859085871,3.94711068219317,5.52874128125248,-1.354064325,3.52846639548707,5.20458919817524,8.80517484745713,4.39218320137013,3.7797822201486,5.78885551046044,3.18427791730713,4.9951523285129,6.90663242334476,6.95555448256273,4.49842185694702,4.15289579464557,-2.859085871,5.51014726365069,6.2394657750382,5.44171252243228,4.94065046348154,0
GSM2370988,5.65111555555648,6.04382514136067,5.72060877830938,4.74297310338482,9.70557613302559,2.46431955642691,-1.356835556,7.67618588122263,1.44669455649438,1.74493992081083,3.60165109810977,2.08495816434307,3.26477931305657,4.83224951421718,5.40938047178836,6.83874280393997,5.34418045281989,-2.171989648,5.68931288990519,4.28769448477246,3.39595572939025,4.67117029330759,6.25229514802159,9.19290727899495,6.25183942340604,4.8790352907586,1.81571570555774,4.0978963473435,5.65180659521132,9.00983000096028,7.88749197088622,4.89079118484335,4.12601929197838,0.628628785279547,4.34522049665594,2.49545133622729,3.19442915095203,5.830897435,0
GSM2370989,4.91182736626542,6.65986675357277,6.33204998659436,4.64386163003415,8.59146767075456,4.0315528334595,2.24210908530544,7.99141753096267,1.45758550169788,-4.227797283,2.28469903183164,-1.569793544,4.25148422632939,4.43284374567328,4.27279842648688,5.74502561417943,5.59233457480791,-4.227797283,4.84935622620296,4.76161694081005,3.09726285986577,4.17430252370063,5.84802009177545,7.85851721178692,6.30385525905811,5.17216858654789,2.58654052453932,4.04400318843919,6.06819118566377,7.46371308801353,8.30247655063287,4.16293160701139,4.36499741632912,0.810882364127752,4.98468063462647,3.35879693751539,4.81344437781848,5.91054787907474,0
